image,locationName,city,gencapacity (kW),Unnamed: 4,latitude,longitude
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Butterville Road Solar - County Route 75,"Adams, NY",1164,,44.6343267,-75.5488631
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,C2 NY Sentinel Heights Solar - 3500 Sentinel Heights Rd,"Lafayette, NY",4900,,42.9407505,-76.1164831
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Cairo NY 1, LLC - 258 Old Route 23","Acra, NY",3000,,42.3082113,-74.0447165
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Camden Renewables, LLC - 1751 Mexico Road","Camden, NY",3900,,43.3399766,-75.7737412
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Camden Solar Farm,"Camden, NY",2400,,43.312473,-75.6978118
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Canandaigua #1,"Canandaigua, NY",2500,,42.890706,-77.2577039
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Canandaigua #2,"Canandaigua, NY",1628,,42.8873492,-77.248522
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Candor Central School District,"Candor, NY",1077,,42.230506,-76.3609299
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Canisteo Solar I, LLC - 6253 County Road 64","Hornell, NY",6500,,42.304901,-77.6566089
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Catalyze Holdings, LLC - 3240 W Lake Rd","Geneseo, NY",6500,,42.8455092,-77.7189459
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Catlin Solar 1,"Beaver Dams, NY",6100,,42.2842399,-76.9560965
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Catlin Solar LLC - 68 Callahan Road,"Beaver Dams, NY",1251,,42.2842399,-76.9560965
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,CDG Huron Solar 1,"Huron, NY",1777,,43.2139517,-76.8321752
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Cedar Hill Solar, LLC - 2579 Brookview Rd","Castleton On Hudson, NY",7600,,42.5741568,-73.7098122
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,CES Hogansburg Solar,"Bombay, NY",1247,,44.965065,-74.6422644
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,CES Marbletown Solar - 2675 Route 209,"Kingston, NY",4400,,41.890489,-74.1042351
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Chester NY 1, LLC","Chester, NY",2700,,41.3401645,-74.2938275
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Cicero Energy Storage 1 - 7790 Northern Blvd,"East Syracuse, NY",7700,,43.147694,-76.0839749
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Cicero Energy Storage 2 - 6262 Island Rd,"Cicero, NY",7600,,43.150225,-76.0906339
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Citizens Chenango Solar,"Castle Creek, NY",6100,,42.1974206,-75.9359933
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,City of Amsterdam,"Amsterdam, NY",2800,,42.9449794,-74.1611688
